baseline_owner_module	baseline_declaration_name	visibility	kind	baseline_order	destination_module	route_class	normalization_decision
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x0	private	theorem	36	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x1	private	theorem	37	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x2	private	theorem	38	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x3	private	theorem	39	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x4	private	theorem	40	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x0	private	theorem	41	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x1	private	theorem	42	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x2	private	theorem	43	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x3	private	theorem	44	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x4	private	theorem	45	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
