format	1
declaration	historical_module	destination_module	decision	kind	visibility	command_root	start_line
NumStability.Higham21MGSComparisonBound	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Source.Higham.Chapter21.Section03.MethodComparison.Core	relocate_source	inductive	public	NumStability.Higham21MGSComparisonBound	27
NumStability.Higham21MGSComparisonBound.bound	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Source.Higham.Chapter21.Section03.MethodComparison.Core	relocate_source	theorem	public	NumStability.Higham21MGSComparisonBound	27
NumStability.Higham21MGSComparisonBound.casesOn	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Source.Higham.Chapter21.Section03.MethodComparison.Core	relocate_source	definition	public	NumStability.Higham21MGSComparisonBound	27
NumStability.Higham21MGSComparisonBound.mk	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Source.Higham.Chapter21.Section03.MethodComparison.Core	relocate_source	constructor	public	NumStability.Higham21MGSComparisonBound	27
NumStability.Higham21MGSComparisonBound.rec	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Source.Higham.Chapter21.Section03.MethodComparison.Core	relocate_source	recursor	public	NumStability.Higham21MGSComparisonBound	27
NumStability.Higham21MGSComparisonBound.recOn	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Source.Higham.Chapter21.Section03.MethodComparison.Core	relocate_source	definition	public	NumStability.Higham21MGSComparisonBound	27
NumStability.Higham21MGSComparisonBound.remainder_isBigO	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Source.Higham.Chapter21.Section03.MethodComparison.Core	relocate_source	theorem	public	NumStability.Higham21MGSComparisonBound	27
NumStability.Higham21MGSCorrectedBackwardRecurrence	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	inductive	public	NumStability.Higham21MGSCorrectedBackwardRecurrence	402
NumStability.Higham21MGSCorrectedBackwardRecurrence.casesOn	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	definition	public	NumStability.Higham21MGSCorrectedBackwardRecurrence	402
NumStability.Higham21MGSCorrectedBackwardRecurrence.mk	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	constructor	public	NumStability.Higham21MGSCorrectedBackwardRecurrence	402
