declaration	owner	reason
NumStability.integrable_ginibreCoordinate_density	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	consumes retained material (command-level closure)
NumStability.integrable_ginibreDeterminantPermutationTerm_mul	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integrable_ginibrePermutationPairMonomial	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integrable_ginibreProjectiveWeight	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	in the pinned reverse closure
NumStability.integrable_ginibreShiftedDeterminantPermutationTerm_mul	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integrable_ginibreShiftedPermutationPairMonomial	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integrable_ginibreSignedIncidence	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	in the pinned reverse closure
NumStability.integrable_incidenceCoordinateDensity_of_integrable_realGinibre	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	consumes retained material (command-level closure)
NumStability.integrable_realEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	consumes retained material (command-level closure)
NumStability.integrable_realEigenvalueCount_of_aestronglyMeasurable	NumStability.Algorithms.TestMatrices.Higham28Ginibre	consumes retained material (command-level closure)
NumStability.integrable_realGinibreDensityReal	NumStability.Algorithms.TestMatrices.Higham28GinibreMeasure	consumes retained material (command-level closure)
NumStability.integrable_realGinibre_characteristicProduct	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integrable_realGinibre_det_sub_smul_one_mul_det_sub_smul_one	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_ginibreAlternatingBelow_eq_signedIncidenceBelow	NumStability.Algorithms.TestMatrices.Higham28GinibreTruncatedIncidence	in the pinned reverse closure
NumStability.integral_ginibreAlternatingPair_eq_signedIncidence	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	in the pinned reverse closure
NumStability.integral_ginibreComplexShiftedDeterminantPermutationTerm_mul	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_ginibreComplexShiftedPermutationPairMonomial	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_ginibreCoordinate_alternatingPair_density_eq_expected	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	consumes retained material (command-level closure)
NumStability.integral_ginibreDeterminantPermutationTerm_mul	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_ginibreIncidence_rankPieceBelow_eq_image	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRankTransfer	in the pinned reverse closure
NumStability.integral_ginibreIncidence_rankPiece_eq_image	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRankTransfer	in the pinned reverse closure
NumStability.integral_ginibrePermutationPairMonomial	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_ginibreProjectiveRadial	NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral	in the pinned reverse closure
NumStability.integral_ginibreProjectiveWeight	NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral	in the pinned reverse closure
NumStability.integral_ginibreProjectiveWeight_euclidean	NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral	in the pinned reverse closure
NumStability.integral_ginibreShiftedDeterminantPermutationTerm_mul	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_ginibreShiftedPermutationPairMonomial	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_ginibreSignedFixedFiber_of_orthogonal	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	in the pinned reverse closure
NumStability.integral_ginibreSignedNuisance_eq_oneRootMoment	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	in the pinned reverse closure
NumStability.integral_ginibreSignedTwoRootNuisance_eq_slice	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	in the pinned reverse closure
NumStability.integral_realGinibre_characteristicProduct	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
