declaration	owner	visibility	in_union_closure	in_signature_closure	in_body_closure
NumStability.integral_realGinibre_characteristicProduct_eq_kernel	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedScalar	public	True	False	True
NumStability.integral_realGinibre_characteristicProduct_eq_sum_fixedPoints	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	public	True	False	True
NumStability.integral_realGinibre_coordinateProduct	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	public	True	False	True
NumStability.integral_realGinibre_coordinateProduct_complex	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	public	True	False	True
NumStability.integral_realGinibre_det_mul_alternatingBelow_eq_factor_mul_slice	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	public	True	False	True
NumStability.integral_realGinibre_det_sq	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	public	True	False	True
NumStability.integral_realGinibre_det_sub_smul_one_mul_det_sub_smul_one	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	public	True	False	True
NumStability.integral_realGinibre_ginibrePlaneSylvesterOperator_det	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	public	True	False	True
NumStability.integral_realGinibre_prod_gaussian_eq_jointDensity	NumStability.Algorithms.TestMatrices.Higham28GinibreJointDensity	public	True	False	True
NumStability.isSimilar_companion_rank_sub_scalar_ge	NumStability.Algorithms.TestMatrices.Higham28Companion	public	True	False	True
NumStability.lintegral_ginibreFixedFiber	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	public	True	True	True
NumStability.lintegral_ginibreFixedFiber_of_orthogonal	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	public	True	True	True
NumStability.lintegral_ginibreIncidence_gaussian_eq_corollary31Factor_mul_momentLIntegral	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	public	True	False	True
NumStability.lintegral_ginibreIncidence_gaussian_eq_expected	NumStability.Algorithms.TestMatrices.Higham28GinibreGaussianBridge	public	True	False	True
NumStability.lintegral_ginibreIncidence_gaussian_eq_rootCount	NumStability.Algorithms.TestMatrices.Higham28GinibreDeterminantIntegral	public	True	False	True
NumStability.lintegral_ginibreIncidence_rankPiece_eq_image	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	public	True	False	True
NumStability.lintegral_ginibreIncidence_regular_eq_rootCount	NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	public	True	False	True
NumStability.lintegral_ginibreIncidence_regular_eq_sum_rank_images	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	public	True	False	True
NumStability.lintegral_ginibreOrthogonalBlockDensity	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	public	True	True	True
NumStability.log_hilbert_det_eq_sum	NumStability.Algorithms.TestMatrices.Higham28HilbertAsymptotic	public	True	False	True
NumStability.measurableSet_ginibreIncidenceRankImage	NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	public	True	False	True
NumStability.measurableSet_ginibreIncidenceRankPieceBelow_image	NumStability.Algorithms.TestMatrices.Higham28GinibreTruncatedIncidence	public	True	False	True
NumStability.measurable_abs_det_ginibreShift	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	public	True	True	True
NumStability.measurable_abs_det_ginibreShiftReal	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	public	True	True	True
NumStability.measurable_abs_det_matrix	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	public	True	True	True
NumStability.measurable_abs_det_matrixReal	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	public	True	True	True
NumStability.measurable_complexUpperEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	public	True	False	True
NumStability.measurable_complexUpperEigenvalueCount_real	NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	public	True	False	True
NumStability.measurable_gaussianQRQ	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	True	False	True
NumStability.measurable_gaussianQRQMatrix	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	True	False	True
NumStability.measurable_ginibreAbsDetTwoEntryVector	NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence	public	True	True	True
NumStability.measurable_ginibreAlternatingEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	public	True	True	True
NumStability.measurable_ginibreAlternatingPairEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	public	True	True	True
NumStability.measurable_ginibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	public	True	False	True
NumStability.measurable_ginibreShiftShear	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	public	True	True	True
NumStability.measurable_ginibreTraceCorrelatedDensityReal	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	public	True	True	True
NumStability.measurable_ginibreUnshiftShear	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	public	True	True	True
NumStability.measurable_modifiedGramSchmidtQ	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	True	False	True
NumStability.measurePreserving_ginibreAbsDetTwoEntryVector	NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence	public	True	False	True
NumStability.measurePreserving_ginibreNuisanceReorder	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	public	True	True	True
NumStability.measurePreserving_ginibreShiftShear	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	public	True	False	True
NumStability.mem_ginibreIncidenceRankImage_iff_lt_rootCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	public	True	False	True
NumStability.mem_ginibreIncidenceRankPieceBelow_image_iff_lt_belowCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRankTransfer	public	True	False	True
NumStability.natCast_eq_alternating_sub_two_pairs	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	public	True	False	True
NumStability.neg_one_pow_rootRank_mul_abs_det	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	public	True	False	True
NumStability.neg_two_mul_corollary31_product_mul_signedMoment_eq_closedForm_shift	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedConclusion	public	True	False	True
NumStability.ofReal_expectedRealEigenvalueCount_succ_eq_corollary31Factor_mul_momentLIntegral	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	public	True	False	True
NumStability.one_le_companionExceptionalSquaredSingularValuePlus	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.opNorm2_hilbertInverseFormula_log_rate	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	public	True	False	True
NumStability.opNorm2_hilbertMatrix_log_rate_zero	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	public	True	False	True
NumStability.opNorm2_pascalInverseMatrix_eq_inv_smallestEigenvalue	NumStability.Algorithms.TestMatrices.Higham28PascalSpectral	public	True	False	True
NumStability.opNorm2_pascalOptimalSingularizingPerturbation	NumStability.Algorithms.TestMatrices.Higham28PascalSpectral	public	True	False	True
NumStability.opNorm2_secondDifferenceInverse_eq	NumStability.Algorithms.TestMatrices.Higham28ToeplitzCondition	public	True	False	True
NumStability.opNorm2_secondDifference_eq	NumStability.Algorithms.TestMatrices.Higham28ToeplitzCondition	public	True	False	True
NumStability.pascalIdentityCubeRootCandidate_cube	NumStability.Algorithms.TestMatrices.Higham28Pascal	public	True	False	True
NumStability.pascalLower_initial_minor_pos	NumStability.Algorithms.TestMatrices.Higham28PascalTotalPositivity	public	True	False	True
NumStability.pascalMatrix_eq_intervalMomentMatrix	NumStability.Algorithms.TestMatrices.Higham28Moments	public	True	False	True
NumStability.pascalMatrix_isStrictlyTotallyPositive	NumStability.Algorithms.TestMatrices.Higham28PascalTotalPositivity	public	True	False	True
NumStability.pascalMatrix_quadraticForm	NumStability.Algorithms.TestMatrices.Higham28Moments	public	True	False	True
NumStability.pascalMoment_integral	NumStability.Algorithms.TestMatrices.Higham28Moments	public	True	False	True
NumStability.pascalOptimalPerturbation_is_operator2_minimal	NumStability.Algorithms.TestMatrices.Higham28PascalSpectral	public	True	False	True
NumStability.pascalOptimalPerturbation_log_rate	NumStability.Algorithms.TestMatrices.Higham28PascalCondition	public	True	False	True
NumStability.pascalOscillation_pascalLeadingPlucker_same_sign	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationCore	public	True	False	True
NumStability.pascalOscillation_pascalSortedEigenvalue_strictAdjacent	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationCore	public	True	False	True
NumStability.pascalSortedEigenvalue_strictAnti	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationCore	public	True	False	True
NumStability.pascalSortedEigenvector_hasExactlySignChanges	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationExact	public	True	False	True
