declaration	kind	visibility	historical_owner	destination_module	retention_reason	private_floor	closure_depth	witness_source	witness_target	witness_edge_kind	command_root	start_line
NumStability.summable_infNorm_GiE_Minv	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.summable_infNorm_GiE_Minv	811
NumStability.topProjector	definition	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.topProjector	35
NumStability.topProjector_add_bottomProjector	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.topProjector_add_bottomProjector	78
NumStability.topProjector_apply_bottom	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.topProjector_apply_bottom	50
NumStability.topProjector_apply_top	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.topProjector_apply_top	42
NumStability.topProjector_idempotent	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.topProjector_idempotent	134
NumStability.topProjector_mul_J	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.topProjector_mul_J	119
NumStability.tsum_GiE_entry_eq_drazinIG	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.tsum_GiE_entry_eq_drazinIG	1289
NumStability.tsum_infNorm_GiE_Minv_le	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.tsum_infNorm_GiE_Minv_le	833
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.geom_partial_sum_le	theorem	private	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	private_seed	yes	0				_private.NumStability.Algorithms.StationaryIteration.0.NumStability.geom_partial_sum_le	2322
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_left	theorem	private	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	private_seed	yes	0				_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_left	1063
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_matSub_id	theorem	private	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	private_seed	yes	0				_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_matSub_id	1036
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_right	theorem	private	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	private_seed	yes	0				_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_right	1078
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residualSigmaTsum_entry_le_of_real_diagonalization	theorem	private	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	private_seed	yes	0				_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residualSigmaTsum_entry_le_of_real_diagonalization	2687
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residual_geometric_partial_le_ratio	theorem	private	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	private_seed	yes	0				_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residual_geometric_partial_le_ratio	2489
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residual_term_entry_abs_le_of_real_diagonalization	theorem	private	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	private_seed	yes	0				_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residual_term_entry_abs_le_of_real_diagonalization	2505
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.singularErrorSourceTerm_term_eq	theorem	private	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	private_seed	yes	0				_private.NumStability.Algorithms.StationaryIteration.0.NumStability.singularErrorSourceTerm_term_eq	1705
